[2025-08-29T20:12:33.985Z] GET /src/components/Card.tsx -> 200 (5ms)
[2025-08-29T20:12:33.986Z] GET /src/config/pingone.ts -> 200 (6ms)
[2025-08-29T20:12:33.986Z] GET /src/utils/storage.ts -> 200 (6ms)
[2025-08-29T20:12:33.986Z] GET /src/utils/oauth.ts -> 200 (6ms)
[2025-08-29T20:12:33.988Z] GET /@id/__vite-browser-external:crypto -> 200 (0ms)
[2025-08-29T20:12:34.054Z] GET /favicon.ico -> 200 (4ms)
[2025-08-29T20:13:00.708Z] GET / -> 200 (11ms)
[2025-08-29T20:13:00.866Z] GET /@react-refresh -> 200 (7ms)
[2025-08-29T20:13:00.868Z] GET /.well-known/appspecific/com.chrome.devtools.json -> 200 (10ms)
[2025-08-29T20:13:00.872Z] GET /@vite/client -> 200 (15ms)
[2025-08-29T20:13:00.874Z] GET /node_modules/vite/dist/client/env.mjs -> 200 (1ms)
[2025-08-29T20:13:00.881Z] GET /src/main.tsx -> 200 (22ms)
[2025-08-29T20:13:00.909Z] GET /node_modules/.vite/deps/react_jsx-dev-runtime.js?v=3d9986f6 -> 200 (7ms)
[2025-08-29T20:13:00.909Z] GET /node_modules/.vite/deps/react.js?v=3d9986f6 -> 200 (7ms)
[2025-08-29T20:13:00.909Z] GET /node_modules/.vite/deps/react-dom_client.js?v=3d9986f6 -> 200 (7ms)
[2025-08-29T20:13:00.909Z] GET /node_modules/.vite/deps/react-router-dom.js?v=3d9986f6 -> 200 (6ms)
[2025-08-29T20:13:00.909Z] GET /src/App.tsx -> 200 (6ms)
[2025-08-29T20:13:00.909Z] GET /node_modules/.vite/deps/styled-components.js?v=3d9986f6 -> 200 (6ms)
[2025-08-29T20:13:00.909Z] GET /src/styles/global.ts -> 200 (6ms)
[2025-08-29T20:13:00.971Z] GET /node_modules/.vite/deps/chunk-I4MZPW7S.js?v=3d9986f6 -> 200 (58ms)
[2025-08-29T20:13:00.974Z] GET /node_modules/.vite/deps/chunk-QXLG2TGQ.js?v=3d9986f6 -> 200 (61ms)
